sport,game_id,game_date,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,result,odds_home,odds_away,odds_draw,favourite
baseball,154446,2024-06-27T23:45:00+00:00,1,MLB,2024,33,St.Louis Cardinals,8,Cincinnati Reds,away,1.6876923076923076,2.220769230769231,10000,home
basketball,384862,2024-06-27T17:00:00+00:00,13,NBA W,2024,165,Dallas Wings W,169,Minnesota Lynx W,home,4.598,1.1973333333333334,10000,home
basketball,384863,2024-06-27T23:00:00+00:00,13,NBA W,2024,163,Chicago Sky W,167,Las Vegas Aces W,away,5.264,1.162,10000,home
afl,2969,2024-06-28T09:40:00+00:00,1,AFL Premiership,2024,2,Brisbane Lions,9,Melbourne Demons,home,1.18,5.011,10000,home
baseball,154447,2024-06-28T00:10:00+00:00,1,MLB,2024,16,Kansas City Royals,9,Cleveland Guardians,home,1.9353846153846153,1.896153846153846,10000,home
baseball,154448,2024-06-28T01:38:00+00:00,1,MLB,2024,17,Los Angeles Angels,12,Detroit Tigers,home,2.315384615384615,1.6384615384615384,10000,home
baseball,154450,2024-06-28T22:20:00+00:00,1,MLB,2024,27,Philadelphia Phillies,19,Miami Marlins,home,1.4423076923076923,2.8607692307692307,10000,home
baseball,154451,2024-06-28T22:50:00+00:00,1,MLB,2024,34,Tampa Bay Rays,37,Washington Nationals,home,1.5661538461538462,2.474615384615385,10000,home
baseball,154452,2024-06-28T23:05:00+00:00,1,MLB,2024,4,Baltimore Orioles,35,Texas Rangers,home,1.8361538461538465,2.0046153846153847,10000,home
baseball,154453,2024-06-28T23:07:00+00:00,1,MLB,2024,36,Toronto Blue Jays,25,New York Yankees,away,1.886923076923077,1.9446153846153849,10000,home
baseball,154454,2024-06-28T23:10:00+00:00,1,MLB,2024,24,New York Mets,15,Houston Astros,home,1.8846153846153848,1.9484615384615385,10000,home
baseball,154455,2024-06-28T23:10:00+00:00,1,MLB,2024,5,Boston Red Sox,30,San Diego Padres,away,1.6246153846153846,2.336923076923077,10000,home
baseball,154456,2024-06-28T23:20:00+00:00,1,MLB,2024,3,Atlanta Braves,28,Pittsburgh Pirates,home,1.4753846153846153,2.7515384615384617,10000,home
basketball,384865,2024-06-28T02:00:00+00:00,13,NBA W,2024,172,Seattle Storm W,166,Indiana Fever W,home,1.2226666666666666,4.282666666666667,10000,home
basketball,384866,2024-06-28T23:30:00+00:00,13,NBA W,2024,164,Connecticut Sun W,162,Atlanta Dream W,away,1.1886666666666665,4.769333333333333,10000,home
